Potential energy (Ha)  Kinetic Energy (Ha)	Pressure (GPa)
-687.8637334162        6.4630102594   		2046.0257149763
-687.8115637748        6.4630102594		2052.8966340384
-687.6203152555        6.4630102594		2079.5331286552
-687.3429218376        6.4630102594		2116.5157659683
-687.0959723166        6.4630102594		2149.7524226964
-686.8869287736        6.4630102594		2178.1799202072
-686.6623984933        6.4630102594		2204.9058024181
-686.4846817778        6.4630102594		2224.3793756585
-686.3858879034        6.4630102594		2236.0627585001
-686.3078371230        6.4630102594		2244.4858993325
-686.3129477637        6.4630102594		2247.0531827003
-686.3539998738        6.4630102594		2244.9994305507
-686.3740509645        6.4630102594		2244.4059927538
-686.3103639256        6.4630102594		2250.9526403087
-686.2555303305        6.4630102594		2257.6758420343
-686.2580345262        6.4630102594		2259.2868031158
-686.2795337062        6.4630102594		2258.7669145460
-686.3047477234        6.4630102594		2259.4520121349
-686.2753039395        6.4630102594		2265.3087328153
-686.1859190895        6.4630102594		2277.0760722931
-686.0853277222        6.4630102594		2291.2812044006
-686.0162759053        6.4630102594		2303.9232932967
-685.9480951012        6.4630102594		2315.6895965310
-685.8681397145        6.4630102594		2328.6612604771
-685.7789368024        6.4630102594		2341.9747683203
-685.7103918008        6.4630102594		2352.8582257325
-685.6382322137        6.4630102594		2363.1392865783
-685.5698963806        6.4630102594		2372.0532681297
-685.5654383971        6.4630102594		2372.2526964205
-685.6453659193        6.4630102594		2361.3713613265
-685.7760533026        6.4630102594		2343.1245587715
-685.9143738460        6.4630102594		2323.1858744687
-686.0556531100        6.4630102594		2305.1199667304
-686.1727852151        6.4630102594		2291.3573129130
-686.2094624516        6.4630102594		2287.7319524502
-686.1403052243        6.4630102594		2295.9371223528
-686.0227799574        6.4630102594		2310.6637416225
-685.9553801128        6.4630102594		2320.4844589318
-685.9112472460        6.4630102594		2326.8200293866
-685.8237085702        6.4630102594		2335.5908313273
-685.7727928856        6.4630102594		2343.7092321127
-685.7253935479        6.4630102594		2353.7698873181
-685.6441011172        6.4630102594		2365.8671337012
-685.5698804472        6.4630102594		2375.1838825749
-685.5210970782        6.4630102594		2381.6606261466
-685.5064979450        6.4630102594		2384.4516359365
-685.5360498052        6.4630102594		2381.1753193822
-685.5602556507        6.4630102594		2376.5046015966
-685.5361364351        6.4630102594		2375.6118513881
-685.4787808672        6.4630102594		2378.7575799671
-685.4572953473        6.4630102594		2379.1281515029
-685.4592302441        6.4630102594		2375.9442388758
-685.5234383413        6.4630102594		2366.9582355587
-685.5483997758        6.4630102594		2361.9478506704
-685.4920622979        6.4630102594		2365.0375459320
-685.4180445768        6.4630102594		2370.7758921827
-685.4352153979        6.4630102594		2373.4290868305
-685.4519334274        6.4630102594		2375.6053773605
-685.4455932534        6.4630102594		2378.8985235492
-685.4262637114        6.4630102594		2381.3495328538
-685.3783965656        6.4630102594		2385.5492171652
-685.4046133533        6.4630102594		2383.2524239416
-685.4468462826        6.4630102594		2377.2104958224
-685.4895913540        6.4630102594		2370.0960594896
-685.5544406821        6.4630102594		2360.9815006552
-685.6509909720        6.4630102594		2349.5378046482
-685.7407919443        6.4630102594		2341.0969467012
-685.7514741290        6.4630102594		2341.8383796358
-685.6766604516        6.4630102594		2350.7320120927
-685.5489550812        6.4630102594		2363.5662444335
-685.4882608764        6.4630102594		2373.0657555384
-685.4792483641        6.4630102594		2374.0099217139
-685.5374262587        6.4630102594		2366.3477502476
-685.6094545241        6.4630102594		2357.8912812959
-685.6617226980        6.4630102594		2351.3007930294
-685.6953776717        6.4630102594		2346.7521296928
-685.7379602858        6.4630102594		2340.7478616198
-685.7809703804        6.4630102594		2332.6599537726
-685.7996436657        6.4630102594		2327.9590483466
-685.8062443111        6.4630102594		2326.7632228208
-685.7973722481        6.4630102594		2328.8015824408
-685.8074540483        6.4630102594		2331.6058025368
-685.7908590334        6.4630102594		2335.4766188553
-685.7824015325        6.4630102594		2337.9152360704
-685.8178874709        6.4630102594		2337.8451757277
-685.8017629756        6.4630102594		2339.9375279371
-685.7569380345        6.4630102594		2345.4655419034
-685.6841439878        6.4630102594		2353.0853805007
-685.5434326473        6.4630102594		2367.7040216421
-685.4294451093        6.4630102594		2384.8565814073
-685.3076915013        6.4630102594		2404.2560620102
-685.1800524689        6.4630102594		2421.8232513489
-685.0957820577        6.4630102594		2430.6891250993
-685.1256116391        6.4630102594		2422.3347953476
-685.2585554743        6.4630102594		2402.1809338575
-685.3008913544        6.4630102594		2389.1442897029
-685.3110756007        6.4630102594		2384.1015018856
-685.4013738509        6.4630102594		2374.5451086704
-685.5355855160        6.4630102594		2361.3671702815
-685.6134383677        6.4630102594		2352.7147509818
-685.5746273547        6.4630102594		2355.3749997326
-685.4594628537        6.4630102594		2365.9328627770
-685.2805317432        6.4630102594		2379.5830885517
-685.1546661503        6.4630102594		2390.1067586514
-685.2399273075        6.4630102594		2387.8136076522
-685.2348641384        6.4630102594		2389.5915512589
-685.3051281723        6.4630102594		2387.1360973121
-685.3637658217        6.4630102594		2383.1731855378
-685.4060147866        6.4630102594		2378.6583621272
-685.4783676568        6.4630102594		2371.3498639599
-685.5676134806        6.4630102594		2362.1571673471
-685.6162936292        6.4630102594		2357.7027120576
-685.6169640037        6.4630102594		2357.7737495655
-685.5769648323        6.4630102594		2361.4124276754
-685.4973937609        6.4630102594		2366.1684077393
-685.5143613529        6.4630102594		2366.2949352964
-685.5423062708        6.4630102594		2367.6420237980
-685.5114462253        6.4630102594		2373.8707983758
-685.4542702440        6.4630102594		2381.4606055519
-685.3919902451        6.4630102594		2387.3683565882
-685.3509811813        6.4630102594		2390.7254654021
-685.3263909796        6.4630102594		2391.6776978704
-685.3174584460        6.4630102594		2391.6814916898
-685.3508643726        6.4630102594		2387.1383808311
-685.5099752282        6.4630102594		2374.2396280409
-685.6449721695        6.4630102594		2363.8295583670
-685.6657526651        6.4630102594		2359.8399002717
-685.6644230861        6.4630102594		2358.1019479402
-685.6744571336        6.4630102594		2357.5840115807
-685.6349938625        6.4630102594		2363.3221022061
-685.5794583723        6.4630102594		2369.8402400702
-685.6363857865        6.4630102594		2363.4301386986
-685.7755242438        6.4630102594		2347.2811039544
-685.9002211923        6.4630102594		2329.9937369749
-685.9292195253        6.4630102594		2321.9031377928
-685.8849302650        6.4630102594		2323.1833289181
-685.8094818182        6.4630102594		2329.3452772413
-685.7446752675        6.4630102594		2335.1947456869
-685.7875696576        6.4630102594		2334.2547405106
-685.7986730818        6.4630102594		2335.1948046714
-685.7559177445        6.4630102594		2340.8300576105
-685.6166010943        6.4630102594		2351.6171993550
-685.6541847079        6.4630102594		2353.8769042922
-685.5436986739        6.4630102594		2367.5192073923
-685.4012696644        6.4630102594		2384.3365569486
-685.3074714195        6.4630102594		2394.8177171223
-685.3197497736        6.4630102594		2394.8697184066
-685.3961898083        6.4630102594		2388.5122338910
-685.4636556155        6.4630102594		2381.6037623059
-685.4561651896        6.4630102594		2382.0680174407
-685.4033172175        6.4630102594		2388.0197446206
-685.3680903280        6.4630102594		2392.1467403299
-685.3019046609        6.4630102594		2397.6745325479
-685.2528318740        6.4630102594		2402.0963042475
-685.2806000667        6.4630102594		2402.0432206729
-685.2417221490        6.4630102594		2407.1035701124
-685.2469908925        6.4630102594		2409.2472886190
-685.1623289020        6.4630102594		2418.4732537649
-685.0626284179        6.4630102594		2430.9817662611
-685.0558609294        6.4630102594		2433.9073360803
-685.1411281887        6.4630102594		2425.8084229491
-685.2986802259        6.4630102594		2409.9014852103
-685.4529971254        6.4630102594		2392.3870411144
-685.5831819615        6.4630102594		2375.9548517246
-685.6717957284        6.4630102594		2362.3108293350
-685.7122942378        6.4630102594		2355.3156212398
-685.7108623658        6.4630102594		2354.2202245594
-685.6796598688        6.4630102594		2355.7874560419
-685.6759921493        6.4630102594		2355.7858420797
-685.7007541852        6.4630102594		2354.2624221952
-685.7316993477        6.4630102594		2349.4662025010
-685.8382890595        6.4630102594		2337.1226886591
-685.9153158172        6.4630102594		2328.0749385952
-685.9479825624        6.4630102594		2323.5548039350
-685.9756999483        6.4630102594		2320.8503713200
-685.9801045530        6.4630102594		2320.8653761816
-685.9273819683        6.4630102594		2326.4214071425
-685.8470553918        6.4630102594		2336.6407286060
-685.7660494507        6.4630102594		2346.4833419980
-685.6796952187        6.4630102594		2355.0674341314
-685.5682971116        6.4630102594		2362.7220289714
-685.5688583980        6.4630102594		2362.3696844782
-685.6346086122        6.4630102594		2356.8567285580
-685.6460873581        6.4630102594		2353.5814061400
-685.6699341990        6.4630102594		2349.3721023579
-685.7331174965        6.4630102594		2341.5101485260
-685.7487342408        6.4630102594		2338.5197550908
-685.7170128933        6.4630102594		2343.0342028715
-685.6161425409        6.4630102594		2354.5383342293
-685.5356426031        6.4630102594		2363.5332754340
-685.5753893140        6.4630102594		2361.4039378466
-685.6723991518        6.4630102594		2354.0051619773
-685.7399143711        6.4630102594		2349.5073433643
-685.7134544986        6.4630102594		2353.2049381505
-685.6643689432        6.4630102594		2361.0456491165
-685.6083834685        6.4630102594		2369.0580145184
-685.5316040839        6.4630102594		2377.2522812157
-685.4814018280        6.4630102594		2383.7368758589
-685.4131358912        6.4630102594		2392.2200996950
-685.3293318639        6.4630102594		2403.1729803315
-685.2698773566        6.4630102594		2410.7368352429
-685.3447179055        6.4630102594		2405.8274652353
-685.4636131590        6.4630102594		2395.3965176089
-685.5347193637        6.4630102594		2388.0231325257
-685.5476935281        6.4630102594		2385.3135554616
-685.5069343368        6.4630102594		2385.0132420732
-685.5648056534        6.4630102594		2377.8263898155
-685.6795971609        6.4630102594		2365.1262571326
-685.7602691040        6.4630102594		2354.6257295215
-685.7531766731        6.4630102594		2352.3663611810
-685.6609689542        6.4630102594		2357.4843996183
-685.6588788801        6.4630102594		2359.2413778035
-685.5711128161        6.4630102594		2366.4472489214
-685.4839782212        6.4630102594		2373.3099161673
-685.5847334237        6.4630102594		2369.4718029981
-685.5866353325        6.4630102594		2371.0642441037
-685.5520121843        6.4630102594		2374.9860981576
-685.4572356090        6.4630102594		2385.3167941170
-685.3066752730        6.4630102594		2400.0903727852
-685.2280875863        6.4630102594		2408.6457744223
-685.2989324889        6.4630102594		2402.2857703806
-685.4358088795        6.4630102594		2386.8035650156
-685.5210402274        6.4630102594		2375.9175014905
-685.5311879435        6.4630102594		2373.4865921930
-685.5093367837        6.4630102594		2376.2579112537
-685.4773656146        6.4630102594		2380.7582880489
-685.4535012914        6.4630102594		2383.7767864290
-685.4296850800        6.4630102594		2383.1358271378
-685.4719348786        6.4630102594		2375.1090383834
-685.6310394922        6.4630102594		2357.2275614016
-685.8065878755        6.4630102594		2337.7426014744
-685.9112269772        6.4630102594		2325.8090889009
-685.9334820336        6.4630102594		2322.4915215801
-685.8860816685        6.4630102594		2327.1026219072
-685.8127720180        6.4630102594		2335.5147579674
-685.7587692587        6.4630102594		2341.5650910807
-685.7334288426        6.4630102594		2344.8871600279
-685.7171203431        6.4630102594		2347.8750772772
-685.6654964162        6.4630102594		2353.2952894835
-685.5623831762        6.4630102594		2362.8792649288
-685.4639736488        6.4630102594		2375.4167125233
-685.3652887996        6.4630102594		2389.1916534736
-685.2864518079        6.4630102594		2400.2081709710
-685.3417781598        6.4630102594		2400.9045958133
-685.3852217187        6.4630102594		2399.4943525530
-685.4311479220        6.4630102594		2395.9610414284
-685.4898887688        6.4630102594		2391.4882876326
-685.5235089460        6.4630102594		2387.5257453984
-685.5170555282        6.4630102594		2388.0844056795
-685.5029085711        6.4630102594		2390.2637754734
-685.4803397534        6.4630102594		2393.5829248099
-685.4043359192        6.4630102594		2400.6372129553
-685.3963166424        6.4630102594		2403.6677094454
