Potential energy (Ha)	Kinetic Energy (Ha)	Pressure (GPa)
-627.6878994734        	2.5852041037   		41151.7125595802
-627.9475890032        	2.5852041037		41029.1574596573
-628.4077845427        	2.5852041037		40802.0022459098
-628.7716601889        	2.5852041037		40604.9189991347
-628.9663809148        	2.5852041037		40474.5548083241
-629.0895047561        	2.5852041037		40381.4286210884
-629.1326289947        	2.5852041037		40328.9327943370
-629.1424588937        	2.5852041037		40307.2950070904
-629.2086950285        	2.5852041037		40281.6677318527
-629.2613065365        	2.5852041037		40252.9688613642
-629.3400310981        	2.5852041037		40203.9660700404
-629.3716643155        	2.5852041037		40161.8612180015
-629.2731489009        	2.5852041037		40167.1571265444
-629.1432988708        	2.5852041037		40193.9780122038
-629.1313384627        	2.5852041037		40183.3138467985
-629.1547914505        	2.5852041037		40156.9903896634
-629.0910112097        	2.5852041037		40161.3240591664
-628.9798445333        	2.5852041037		40184.4126170473
-628.8843708314        	2.5852041037		40210.2092581992
-628.7501337423        	2.5852041037		40247.2726826665
-628.6485367468        	2.5852041037		40272.6024600844
-628.6483310721        	2.5852041037		40270.6420300058
-628.6477098312        	2.5852041037		40265.3773460526
-628.6447514219        	2.5852041037		40260.2734950091
-628.6498453608        	2.5852041037		40253.9408203436
-628.6794528042        	2.5852041037		40241.6310722803
-628.7722601058        	2.5852041037		40207.8402953966
-628.9114140924        	2.5852041037		40156.0276340768
-628.9914060871        	2.5852041037		40122.8832963228
-629.0085667115        	2.5852041037		40111.4189357470
-628.9961181344        	2.5852041037		40112.7904272619
-629.0047434126        	2.5852041037		40114.1530610078
-629.0587902263        	2.5852041037		40106.0000901521
-629.0831746855        	2.5852041037		40108.4227217940
-629.0429695402        	2.5852041037		40130.2773960152
-629.0068505655        	2.5852041037		40147.3466643368
-628.9720065088        	2.5852041037		40164.9791676531
-628.8989984293        	2.5852041037		40200.9824643978
-628.7761938332        	2.5852041037		40249.1814777468
-628.7912059166        	2.5852041037		40243.3648723545
-628.9374120663        	2.5852041037		40190.7500824854
-629.0493171729        	2.5852041037		40147.3892592865
-629.0519912494        	2.5852041037		40139.7415396153
-628.9621294301        	2.5852041037		40167.0180936301
-628.9095817168        	2.5852041037		40200.4455571091
-628.8858745097        	2.5852041037		40228.4816912335
-628.8486931850        	2.5852041037		40247.6098200321
-628.7857482937        	2.5852041037		40264.1641828193
-628.7629171392        	2.5852041037		40269.1999074267
-628.7619591380        	2.5852041037		40272.7870350759
-628.7433014117        	2.5852041037		40278.0094299188
-628.7891454913        	2.5852041037		40258.8882945982
-628.8941921225        	2.5852041037		40214.3068288412
-628.9992025329        	2.5852041037		40169.7319909889
-629.0110928101        	2.5852041037		40160.2443766461
-628.9572557246        	2.5852041037		40182.2696916031
-628.8890346262        	2.5852041037		40216.5677668117
-628.7956476786        	2.5852041037		40262.7187710315
-628.8185052925        	2.5852041037		40272.1184731357
-628.8828923264        	2.5852041037		40248.6528577383
-628.9390495629        	2.5852041037		40215.1006335549
-628.9991708976        	2.5852041037		40179.8314692785
-629.0514324937        	2.5852041037		40158.6783733603
-629.0598347659        	2.5852041037		40164.4443872713
-629.0108691615        	2.5852041037		40183.3581090481
-629.0070939709        	2.5852041037		40167.3691185738
-629.0510705034        	2.5852041037		40124.0895546710
-629.0466577737        	2.5852041037		40102.1048961078
-628.9993837831        	2.5852041037		40103.1558830617
-628.9994648782        	2.5852041037		40099.1195533074
-629.0260379866        	2.5852041037		40092.0383376520
-628.9787776433        	2.5852041037		40110.2943725478
-628.9039031752        	2.5852041037		40140.5243361369
-628.8696536317        	2.5852041037		40163.4505598475
-628.8852775724        	2.5852041037		40171.7354693895
-628.9015261386        	2.5852041037		40168.4383578257
-628.9106040459        	2.5852041037		40159.6954441215
-628.8650922141        	2.5852041037		40170.5430876282
-628.7074476797        	2.5852041037		40215.1562269634
-628.5502485429        	2.5852041037		40256.8071816254
-628.4830020601        	2.5852041037		40266.3608662615
-628.5147827594        	2.5852041037		40236.2984297864
-628.6227177271        	2.5852041037		40168.7895132428
-628.7157012916        	2.5852041037		40099.4516729090
-628.7898020531        	2.5852041037		40049.7765783001
-628.8280862781        	2.5852041037		40029.5577649744
-628.8060805034        	2.5852041037		40043.5649485223
-628.7068913918        	2.5852041037		40091.3125717259
-628.5862915493        	2.5852041037		40154.1773590586
-628.4799333487        	2.5852041037		40210.3301634689
-628.4527309007        	2.5852041037		40222.6293062092
-628.5492530340        	2.5852041037		40177.7002318976
-628.6986786188        	2.5852041037		40112.2398193593
-628.7649408045        	2.5852041037		40082.3467312823
-628.6906980940        	2.5852041037		40102.9297763938
-628.6161053620        	2.5852041037		40127.7442776704
-628.6393700248        	2.5852041037		40119.2562248394
-628.6381401281        	2.5852041037		40109.5911215292
-628.5579097084        	2.5852041037		40124.5587506450
-628.5038976129        	2.5852041037		40136.6174445703
-628.5772324226        	2.5852041037		40110.0956449293
-628.7179921606        	2.5852041037		40063.0961277091
-628.8063970746        	2.5852041037		40036.2076278635
-628.8061825556        	2.5852041037		40037.0218542878
-628.7731194869        	2.5852041037		40045.0084135653
-628.7822492533        	2.5852041037		40043.1824738491
-628.6783205442        	2.5852041037		40078.2488966117
-628.5254133416        	2.5852041037		40147.7830578278
-628.3739654133        	2.5852041037		40227.8065739615
-628.2987325198        	2.5852041037		40279.0483481200
-628.3623258558        	2.5852041037		40277.4987818624
-628.4217956167        	2.5852041037		40262.5626032367
-628.4150268492        	2.5852041037		40253.7564257982
-628.3678329103        	2.5852041037		40249.4820395007
-628.3636819761        	2.5852041037		40230.0913441438
-628.4468113934        	2.5852041037		40183.2660348519
-628.5540571818        	2.5852041037		40131.8327179352
-628.6305492084        	2.5852041037		40098.3257562197
-628.7266232659        	2.5852041037		40069.4891384822
-628.8187152088        	2.5852041037		40049.4765580659
-628.8223877923        	2.5852041037		40062.7624318696
-628.7393264568        	2.5852041037		40106.1345930627
-628.6735183888        	2.5852041037		40148.0840613277
-628.6688366914        	2.5852041037		40170.2917345096
-628.6736358846        	2.5852041037		40185.6709916905
-628.7006746010        	2.5852041037		40188.1773601725
-628.7138898195        	2.5852041037		40185.6422205247
-628.6914067289        	2.5852041037		40181.7035709232
-628.7167918111        	2.5852041037		40151.3835872057
-628.7741839954        	2.5852041037		40101.1780173409
-628.8421672495        	2.5852041037		40048.4219415129
-628.8548823494        	2.5852041037		40021.5073366899
-628.8306455759        	2.5852041037		40018.1620321409
-628.8668976424        	2.5852041037		40004.4315098685
-628.8563968323        	2.5852041037		40008.2472503941
-628.7720967149        	2.5852041037		40042.0791121049
-628.6711509380        	2.5852041037		40088.0839164657
-628.5371967215        	2.5852041037		40143.9483377463
-628.4731247279        	2.5852041037		40171.1028717834
-628.5204067974        	2.5852041037		40157.8683096381
-628.5749549508        	2.5852041037		40138.9846505594
-628.5921086973        	2.5852041037		40132.2873601795
-628.6642930058        	2.5852041037		40121.3651293958
-628.6214389470        	2.5852041037		40139.1525361567
-628.5590220572        	2.5852041037		40151.1451573329
-628.6274466348        	2.5852041037		40113.1520188512
-628.7484012001        	2.5852041037		40057.4031591162
-628.8174294928        	2.5852041037		40027.5134272151
-628.8179274538        	2.5852041037		40033.0548017944
-628.7371761783        	2.5852041037		40067.3322901399
-628.6087422191        	2.5852041037		40114.4394856401
-628.5865688663        	2.5852041037		40125.0513447660
-628.6660284751        	2.5852041037		40093.4742320702
-628.7188201244        	2.5852041037		40068.2997912288
-628.7443384859        	2.5852041037		40066.7025094200
-628.6590480959        	2.5852041037		40111.3450563704
-628.5386988423        	2.5852041037		40172.6961819665
-628.4182214736        	2.5852041037		40219.3489105618
-628.3420723495        	2.5852041037		40228.1541097759
-628.3964538061        	2.5852041037		40177.7295978837
-628.6127341382        	2.5852041037		40073.0838881296
-628.7900121204        	2.5852041037		39993.3514567816
-628.8160128996        	2.5852041037		39980.3758761214
-628.7618135781        	2.5852041037		40012.8177728161
-628.6720927958        	2.5852041037		40064.8682264554
-628.6190051464        	2.5852041037		40101.6316667637
-628.6101569957        	2.5852041037		40115.7495819019
-628.5850169784        	2.5852041037		40127.8321991991
-628.5786742654        	2.5852041037		40137.9522399297
-628.5800904710        	2.5852041037		40151.5474899880
-628.5231710813        	2.5852041037		40191.5133880116
-628.4412351093        	2.5852041037		40238.8665174597
-628.4447044415        	2.5852041037		40245.5858488709
-628.4921839280        	2.5852041037		40216.1322067125
-628.5175712647        	2.5852041037		40176.4028174713
-628.5862344375        	2.5852041037		40127.6972082844
-628.6106792581        	2.5852041037		40098.4029761565
-628.5582979909        	2.5852041037		40094.5183053156
-628.5473427940        	2.5852041037		40082.1420760287
-628.4994099528        	2.5852041037		40093.9290892682
-628.3957335157        	2.5852041037		40145.9940976964
-628.2188464089        	2.5852041037		40229.0463612844
-628.1290257298        	2.5852041037		40271.4146903606
-628.2442620440        	2.5852041037		40232.2751596740
-628.3846356411        	2.5852041037		40176.2872027362
-628.4686703954        	2.5852041037		40141.1447194604
-628.4807590710        	2.5852041037		40130.8307160771
-628.5130318760        	2.5852041037		40115.6118929895
-628.5411197915        	2.5852041037		40098.6943174992
-628.6036261006        	2.5852041037		40080.3597078978
-628.6230218415        	2.5852041037		40084.7317185660
-628.5247177186        	2.5852041037		40130.6011684756
-628.4481276018        	2.5852041037		40173.3682771205
-628.4364430471        	2.5852041037		40188.0868303042
-628.4313304033        	2.5852041037		40199.0645987203
-628.3674535247        	2.5852041037		40223.3286190383
-628.3500490931        	2.5852041037		40226.4539660178
-628.3448649168        	2.5852041037		40222.3171402864
-628.3414386794        	2.5852041037		40227.8641092776
-628.3134339030        	2.5852041037		40248.3401829413
-628.3167610432        	2.5852041037		40259.7270561003
-628.3589195516        	2.5852041037		40253.9109483559
-628.3869961609        	2.5852041037		40245.2754572728
-628.3036046196        	2.5852041037		40264.3738636802
-628.1820896930        	2.5852041037		40290.6742793496
-628.1897677580        	2.5852041037		40271.7608696957
-628.2811781415        	2.5852041037		40224.6450928927
-628.3782975529        	2.5852041037		40182.8909599518
-628.4188973415        	2.5852041037		40158.8602795419
-628.4243920918        	2.5852041037		40153.5001182129
-628.3671445773        	2.5852041037		40177.4024389227
-628.3211158787        	2.5852041037		40205.1644608900
-628.3569269523        	2.5852041037		40213.9230972454
-628.4103909368        	2.5852041037		40213.0887312205
-628.5079079492        	2.5852041037		40185.1897268890
-628.6052536240        	2.5852041037		40142.2209933017
-628.6386428747        	2.5852041037		40116.7951233062
-628.6266931658        	2.5852041037		40111.2204811576
-628.5938377233        	2.5852041037		40115.0228342135
-628.5797151014        	2.5852041037		40118.9639666433
-628.6216921201        	2.5852041037		40108.6167479076
-628.6339021514        	2.5852041037		40100.5005301385
-628.5884739028        	2.5852041037		40112.4841080257
-628.5722575815        	2.5852041037		40134.5522669434
-628.6103703545        	2.5852041037		40146.5104464012
-628.6879585381        	2.5852041037		40134.7026709523
-628.7720605711        	2.5852041037		40116.6873650612
-628.7573450367        	2.5852041037		40132.4296625505
-628.6890476945        	2.5852041037		40162.6989091054
-628.7160794339        	2.5852041037		40159.4934369504
-628.8148093786        	2.5852041037		40125.1015781029
-628.9089497844        	2.5852041037		40086.0524199273
-628.9541116061        	2.5852041037		40060.4609089612
-628.9216160779        	2.5852041037		40067.1143630192
-628.8125969927        	2.5852041037		40113.3044124249
-628.6860308650        	2.5852041037		40171.3055754113
-628.6440594782        	2.5852041037		40192.0189327684
-628.6352955345        	2.5852041037		40191.6406264296
-628.6030228708        	2.5852041037		40199.5413745225
-628.5737148944        	2.5852041037		40206.8020145775
-628.6170681890        	2.5852041037		40188.5749150671
-628.6300530574        	2.5852041037		40184.2684365351
-628.5958231450        	2.5852041037		40203.6969742182
-628.5507860737        	2.5852041037		40229.2169192063
-628.5026356698        	2.5852041037		40248.1588284068
-628.5137846915        	2.5852041037		40236.9391814343
-628.5541979992        	2.5852041037		40204.3478866417
-628.5676566157        	2.5852041037		40173.0099440438
-628.6013183673        	2.5852041037		40138.3870118707
