Potential energy (Ha)	Kinetic Energy (Ha)	Pressure (GPa)
-686.4957536244        	2.5852041037   		1636.9590932083
-686.4816427408        	2.5852041037		1638.5817057889
-686.4229938423        	2.5852041037		1647.0922063590
-686.3353699598        	2.5852041037		1660.6178625249
-686.2450987958        	2.5852041037		1675.0318055445
-686.1726708813        	2.5852041037		1686.8111562365
-686.1099486951        	2.5852041037		1696.3902043180
-686.0393746102        	2.5852041037		1705.6265513840
-685.9600504573        	2.5852041037		1714.6030386417
-685.8802436860        	2.5852041037		1722.6348871757
-685.8075228465        	2.5852041037		1728.8975505045
-685.7470050503        	2.5852041037		1734.4710137156
-685.6981107674        	2.5852041037		1739.0566750775
-685.6601997381        	2.5852041037		1742.1387811993
-685.6390386179        	2.5852041037		1742.7396116242
-685.6406179697        	2.5852041037		1740.5273779926
-685.6534885877        	2.5852041037		1737.2365856354
-685.6605414955        	2.5852041037		1735.1296351669
-685.6600303301        	2.5852041037		1735.0967613549
-685.6535005477        	2.5852041037		1735.7175149282
-685.6420632857        	2.5852041037		1736.8508093308
-685.6340768674        	2.5852041037		1737.1111866360
-685.6386148837        	2.5852041037		1735.7063767708
-685.6500859795        	2.5852041037		1733.1015223494
-685.6524789382        	2.5852041037		1732.1501149804
-685.6352566123        	2.5852041037		1734.1540054475
-685.5994817454        	2.5852041037		1739.1276950963
-685.5529602971        	2.5852041037		1744.4340971344
-685.5083400048        	2.5852041037		1748.7649526186
-685.4903178082        	2.5852041037		1750.5649384989
-685.4946793357        	2.5852041037		1749.2436490828
-685.4893950049        	2.5852041037		1748.5134431419
-685.4713120264        	2.5852041037		1750.0988960611
-685.4417842408        	2.5852041037		1754.3228727557
-685.3922350600        	2.5852041037		1760.9405625521
-685.3267465920        	2.5852041037		1769.5784798840
-685.2596627376        	2.5852041037		1779.4074288052
-685.2038329033        	2.5852041037		1787.9926178291
-685.1722631743        	2.5852041037		1792.9636186863
-685.1715004903        	2.5852041037		1795.4176443838
-685.1841515986        	2.5852041037		1796.0323061094
-685.1952456718        	2.5852041037		1795.7223240613
-685.2086066480        	2.5852041037		1795.1172790534
-685.2318408453        	2.5852041037		1793.1569824293
-685.2598342042        	2.5852041037		1789.7455418912
-685.2783022058        	2.5852041037		1786.5324736378
-685.2760882944        	2.5852041037		1785.7987695324
-685.2584396067        	2.5852041037		1786.6955687833
-685.2484145180        	2.5852041037		1787.8078197203
-685.2347687739        	2.5852041037		1791.2732228921
-685.1928814280        	2.5852041037		1797.8374159905
-685.1200954809        	2.5852041037		1806.9636343824
-685.0386136647        	2.5852041037		1816.8779671937
-685.0034417912        	2.5852041037		1820.4983091014
-685.0419362906        	2.5852041037		1816.4548594315
-685.1089176702        	2.5852041037		1808.5530820864
-685.1604327667        	2.5852041037		1799.7716915582
-685.1881689428        	2.5852041037		1792.2548338790
-685.2045835179        	2.5852041037		1785.7274863097
-685.2203693672        	2.5852041037		1779.4122376892
-685.2303261385        	2.5852041037		1774.4521571175
-685.2342808336        	2.5852041037		1771.9775991635
-685.2381325830        	2.5852041037		1771.2917316605
-685.2454161416        	2.5852041037		1771.4381312253
-685.2550664996        	2.5852041037		1772.4621826904
-685.2638468363        	2.5852041037		1773.3629005043
-685.2699133187        	2.5852041037		1774.7242715216
-685.2714720755        	2.5852041037		1775.6551289920
-685.2662388415        	2.5852041037		1776.3417106761
-685.2568315466        	2.5852041037		1775.6479625383
-685.2552588570        	2.5852041037		1772.9743075488
-685.2682971626        	2.5852041037		1767.9083695826
-685.2879376026        	2.5852041037		1762.4201097617
-685.3015597890        	2.5852041037		1758.6509163104
-685.2979202908        	2.5852041037		1757.0405599339
-685.2761268987        	2.5852041037		1758.2251926091
-685.2447105261        	2.5852041037		1761.8764690442
-685.2136179438        	2.5852041037		1766.7976224412
-685.1869177210        	2.5852041037		1773.0608505698
-685.1658521834        	2.5852041037		1778.6278696650
-685.1544682088        	2.5852041037		1782.4836447369
-685.1513357577        	2.5852041037		1785.0146956736
-685.1484916296        	2.5852041037		1786.1621387940
-685.1493452321        	2.5852041037		1786.8567851880
-685.1646480880        	2.5852041037		1785.5907889764
-685.1810613876        	2.5852041037		1784.6882695121
-685.1823193270        	2.5852041037		1785.7962678127
-685.1612405347        	2.5852041037		1788.4466561089
-685.1203058775        	2.5852041037		1792.4005412458
-685.0690735603        	2.5852041037		1797.3098497203
-685.0285091487        	2.5852041037		1800.0176761108
-685.0259578734        	2.5852041037		1798.9799785316
-685.0511890315        	2.5852041037		1794.9078463548
-685.0760209693        	2.5852041037		1789.8241194165
-685.0908528664        	2.5852041037		1785.3248883354
-685.1033276321        	2.5852041037		1780.6779975170
-685.1225078445        	2.5852041037		1776.7991399984
-685.1448272376        	2.5852041037		1773.9002080975
-685.1696070753        	2.5852041037		1771.1902082414
-685.1937380948        	2.5852041037		1770.2942489848
-685.2009103776        	2.5852041037		1771.3495842199
-685.1944909450        	2.5852041037		1773.1150492914
-685.1854650192        	2.5852041037		1775.4794166840
-685.1766470386        	2.5852041037		1778.4049780188
-685.1668943347        	2.5852041037		1781.1775222928
-685.1483410471        	2.5852041037		1785.1940730949
-685.1188035333        	2.5852041037		1789.5802026580
-685.1162874420        	2.5852041037		1791.7440525684
-685.1433102330        	2.5852041037		1791.8124133338
-685.1710116201        	2.5852041037		1791.6868376839
-685.1853691656        	2.5852041037		1792.6738116482
-685.1812035317        	2.5852041037		1794.3897264163
-685.1619756568        	2.5852041037		1797.9174089530
-685.1312845483        	2.5852041037		1802.9707067524
-685.0852301712        	2.5852041037		1808.6384746427
-685.0197563772        	2.5852041037		1814.6583584797
-684.9550362305        	2.5852041037		1819.6516356273
-684.9415132461        	2.5852041037		1820.0918160189
-684.9637133900        	2.5852041037		1816.8331200607
-684.9884310572        	2.5852041037		1811.4640814926
-685.0104012459        	2.5852041037		1806.4093483267
-685.0310421512        	2.5852041037		1801.3191672150
-685.0513040140        	2.5852041037		1796.6373131870
-685.0754449270        	2.5852041037		1791.8818958690
