Potential energy (Ha)  Kinetic Energy (Ha)	Pressure (GPa)
-669.1130800075        6.4630102594   		10318.0170303104
-668.9593695842        6.4630102594		10349.7901341608
-668.5474678776        6.4630102594		10436.0258168585
-668.2450500550        6.4630102594		10497.0641725093
-667.9519362107        6.4630102594		10541.9927140549
-667.6467142327        6.4630102594		10581.2995731858
-667.4983659583        6.4630102594		10598.7092936640
-667.4502947205        6.4630102594		10601.7020041964
-667.4159033785        6.4630102594		10598.9401981972
-667.5147876674        6.4630102594		10576.5712410467
-667.6003552251        6.4630102594		10557.8393116196
-667.6159946811        6.4630102594		10550.2894071790
-667.5969149462        6.4630102594		10549.3007942068
-667.5205130595        6.4630102594		10560.5083662698
-667.4718514436        6.4630102594		10577.1846820751
-667.2947680686        6.4630102594		10616.2612492550
-666.9219584210        6.4630102594		10684.5494097681
-666.5772996282        6.4630102594		10744.6591171899
-666.7281336699        6.4630102594		10743.9865839316
-666.7075684532        6.4630102594		10754.0880073695
-666.6485570833        6.4630102594		10755.8310065554
-666.5603353060        6.4630102594		10758.9366148183
-666.4376505483        6.4630102594		10768.0165088876
-666.4711206942        6.4630102594		10748.5129027389
-666.7329451212        6.4630102594		10700.6658118164
-666.7992900264        6.4630102594		10684.2038351367
-666.7558729293        6.4630102594		10702.6498247733
-666.5924828592        6.4630102594		10751.2661525805
-666.4416563920        6.4630102594		10789.6106990610
-666.3605104221        6.4630102594		10800.8066801699
-666.4162311174        6.4630102594		10787.3289060847
-666.5106795511        6.4630102594		10766.5053670707
-666.5075379371        6.4630102594		10762.5661841768
-666.4005301159        6.4630102594		10779.4680523229
-666.3919658127        6.4630102594		10785.4009837027
-666.4612585366        6.4630102594		10775.9810278677
-666.6098199494        6.4630102594		10749.5845455025
-666.8136681600        6.4630102594		10717.1118659531
-666.9143473575        6.4630102594		10702.4925430242
-666.9020845342        6.4630102594		10706.2034503860
-666.7194084375        6.4630102594		10737.5615541293
-666.4543523770        6.4630102594		10781.9878844046
-666.3116166478        6.4630102594		10809.5650300769
-666.1892654402        6.4630102594		10821.9053170401
-666.2826225312        6.4630102594		10789.5517600415
-666.5237470029        6.4630102594		10731.6282010082
-666.6563241495        6.4630102594		10695.8291335149
-666.6952347989        6.4630102594		10682.6671978530
-666.6527144254        6.4630102594		10685.9426246511
-666.6262574477        6.4630102594		10697.8912557187
-666.4558613654        6.4630102594		10735.9049291134
-666.3335068020        6.4630102594		10774.5693200965
-666.2716507020        6.4630102594		10806.1390580333
-666.1726120660        6.4630102594		10841.7703664149
-666.1394942247        6.4630102594		10861.9670377630
-666.1164610731        6.4630102594		10871.0816150715
-666.0259332732        6.4630102594		10881.1683865685
-666.0620834999        6.4630102594		10860.5038595797
-666.2284576310        6.4630102594		10812.3135648508
-666.3636333322        6.4630102594		10765.5241104323
-666.5399470447        6.4630102594		10720.2352802889
-666.7616480977        6.4630102594		10686.9696461160
-666.7431974708        6.4630102594		10699.1883978910
-666.5791051481        6.4630102594		10735.6524939624
-666.4099199787        6.4630102594		10767.2104996393
-666.2696028757        6.4630102594		10792.4579767820
-666.3408215553        6.4630102594		10781.4597203481
-666.4484461015        6.4630102594		10757.8717097698
-666.4750465793        6.4630102594		10749.9939601760
-666.2582937018        6.4630102594		10775.8231281634
-666.1460951420        6.4630102594		10787.6964183915
-666.2929832813        6.4630102594		10767.1265447747
-666.4274277432        6.4630102594		10743.7528462905
-666.5495890368        6.4630102594		10719.8589633333
-666.6903619446        6.4630102594		10694.7100992920
-666.7835586950        6.4630102594		10679.0079400065
-666.7152008381        6.4630102594		10691.5665948505
-666.4748811439        6.4630102594		10735.0703469470
-666.1836165092        6.4630102594		10788.7998375090
-666.1060351095        6.4630102594		10810.7854457557
-666.1746648406        6.4630102594		10802.6690615914
-666.4713947130        6.4630102594		10752.5263736877
-666.7199094585        6.4630102594		10702.8475183603
-666.8920231265        6.4630102594		10672.4796785128
-666.9671809378        6.4630102594		10661.3601231043
-667.0084276093        6.4630102594		10656.2065304878
-667.0459817482        6.4630102594		10653.7697723163
-667.0030883269        6.4630102594		10667.6130590588
-666.9263805203        6.4630102594		10692.8601989883
-666.8272030253        6.4630102594		10717.4082052181
-666.7719551262        6.4630102594		10725.2320916776
-666.7369015868        6.4630102594		10719.9855610705
-666.7470168730        6.4630102594		10705.4658543714
-666.6371660277        6.4630102594		10719.7444464984
-666.8170705282        6.4630102594		10693.5277415770
-666.8999650416        6.4630102594		10677.8991874143
-666.8574899651        6.4630102594		10692.3676828104
-666.6965284351        6.4630102594		10726.7002413750
-666.7795002147        6.4630102594		10710.5615883981
-666.7950162671        6.4630102594		10699.0330884417
-666.8840621406        6.4630102594		10685.7155095677
-666.8765454517        6.4630102594		10684.0457239767
-666.8539501261        6.4630102594		10682.9182568838
-666.7812843003        6.4630102594		10685.3761721495
-666.6662370091        6.4630102594		10689.4165672463
-666.7405857681        6.4630102594		10676.8800443193
-666.8400227163        6.4630102594		10654.7110540386
-666.9275075086        6.4630102594		10633.0546857837
-666.9640941000        6.4630102594		10624.4717271388
-666.9655906419        6.4630102594		10633.4451640698
-666.8583322106        6.4630102594		10665.4981581116
-666.6513696161        6.4630102594		10707.6616514126
-666.5704613559        6.4630102594		10718.6229591654
-666.6846222236        6.4630102594		10691.7486381443
