Potential energy (Ha)  Kinetic Energy (Ha)	Pressure (GPa)
-628.2644985482        6.4630102594   		42536.5616040872
-628.0757434355        6.4630102594		42581.0051305632
-627.9377665018        6.4630102594		42585.6063125044
-627.7955505588        6.4630102594		42554.2863534782
-627.6269393412        6.4630102594		42521.4619559085
-627.6332413421        6.4630102594		42469.0697912783
-627.6668382480        6.4630102594		42453.0783893147
-627.8528263009        6.4630102594		42388.8250722319
-627.8591709113        6.4630102594		42357.6351666204
-627.7168497995        6.4630102594		42362.2068308697
-627.3695630350        6.4630102594		42410.4292151632
-627.2971648283        6.4630102594		42390.4901054886
-627.6751664709        6.4630102594		42276.5023218738
-627.6415870409        6.4630102594		42270.0912999042
-627.3295538696        6.4630102594		42378.0313347597
-626.9022613317        6.4630102594		42558.9300880331
-626.4901141731        6.4630102594		42731.1620035724
-626.2187408757        6.4630102594		42823.2616790405
-626.0578772886        6.4630102594		42859.2462244352
-626.2982346365        6.4630102594		42779.4020337203
-626.6428363635        6.4630102594		42652.9644673978
-626.7269370462        6.4630102594		42593.9634136055
-626.8610091778        6.4630102594		42528.4170722420
-626.8557306759        6.4630102594		42487.6481521538
-627.0142220263        6.4630102594		42407.4073759168
-627.1015610212        6.4630102594		42353.9590467096
-627.0450274391        6.4630102594		42383.4492574538
-627.0533613300        6.4630102594		42410.8217429837
-626.7176933768        6.4630102594		42539.5489957092
-626.0752449104        6.4630102594		42764.1594201516
-625.9402386790        6.4630102594		42867.7116249197
-625.9675672331        6.4630102594		42874.6202349733
-626.2652761923        6.4630102594		42758.1509756191
-626.7884297864        6.4630102594		42574.3016062490
-626.9229471967        6.4630102594		42503.3506943076
-627.0404843739        6.4630102594		42460.4022000811
-627.0203522479        6.4630102594		42451.6508249716
-627.1144672243        6.4630102594		42410.1032563336
-626.9659927120        6.4630102594		42402.7419739458
-627.1847085642        6.4630102594		42324.3267538355
-627.3516319669        6.4630102594		42268.2186409463
-627.3452804626        6.4630102594		42276.8276729612
-627.0364059486        6.4630102594		42385.1993613970
-626.9966621658        6.4630102594		42437.8037824561
-626.9220308445        6.4630102594		42479.6050552638
-626.9215948391        6.4630102594		42515.7006815673
-626.9146779694        6.4630102594		42562.9268691035
-626.9868946819        6.4630102594		42554.5409065047
-626.8137176482        6.4630102594		42620.5131153789
-626.3465043613        6.4630102594		42779.7396863962
-626.4675675885        6.4630102594		42747.2912008748
-626.7370756789        6.4630102594		42633.2116725831
-626.8181426379        6.4630102594		42554.1000405802
-626.9526058018        6.4630102594		42474.0459145618
-626.9234493400        6.4630102594		42445.5204755756
-626.9200427291        6.4630102594		42444.6210704692
-626.8976092595        6.4630102594		42433.2865115273
-627.4279529868        6.4630102594		42253.8986432219
-627.6086215096        6.4630102594		42196.5390695347
-627.5354304577        6.4630102594		42234.0550982487
-627.3655971296        6.4630102594		42273.2523684862
-627.1378609146        6.4630102594		42313.0728017236
-627.0150219392        6.4630102594		42329.3605187158
-627.0821790424        6.4630102594		42338.3875115788
-627.1874995801        6.4630102594		42361.4454097539
-627.1820233788        6.4630102594		42427.6166502380
-626.9517349697        6.4630102594		42526.1659885936
