Potential energy (Ha)	Kinetic Energy (Ha)	Pressure (GPa)
-668.2463567264        	0.7755612311   		9287.7370229824
-668.2118514558        	0.7755612311		9286.1395903265
-668.3119088218        	0.7755612311		9247.6604398856
-668.4762735176        	0.7755612311		9191.8574820856
-668.6439938717        	0.7755612311		9136.4904360247
-668.7912821167        	0.7755612311		9088.4556693173
-668.9130012962        	0.7755612311		9049.5004704981
-669.0106521517        	0.7755612311		9019.0324191119
-669.0876599142        	0.7755612311		8996.3188414382
-669.1463554922        	0.7755612311		8979.8580419614
-669.1874293301        	0.7755612311		8968.9148915424
-669.2114919184        	0.7755612311		8962.8868510503
-669.2204883920        	0.7755612311		8960.9977447757
-669.2179808948        	0.7755612311		8962.4997159717
-669.2095880053        	0.7755612311		8965.6028290187
-669.2035042980        	0.7755612311		8968.6082849092
-669.2088462430        	0.7755612311		8968.8108946327
-669.2308290308        	0.7755612311		8965.5537330299
-669.2659900935        	0.7755612311		8959.8535017338
-669.3034413447        	0.7755612311		8954.1378931581
-669.3319925755        	0.7755612311		8951.3129790981
-669.3452914969        	0.7755612311		8952.3451182429
-669.3434320988        	0.7755612311		8957.5051440057
-669.3337152085        	0.7755612311		8964.0692857609
-669.3288658575        	0.7755612311		8968.3185175177
-669.3380762132        	0.7755612311		8967.7986940764
-669.3599594975        	0.7755612311		8962.8290390701
-669.3873220251        	0.7755612311		8954.9059364214
-669.4139388126        	0.7755612311		8946.3686130912
-669.4357731995        	0.7755612311		8938.2559275010
-669.4502677056        	0.7755612311		8931.5082207689
-669.4574131786        	0.7755612311		8926.8134021470
-669.4603988172        	0.7755612311		8923.5984610373
-669.4613545260        	0.7755612311		8922.4339091723
-669.4596809673        	0.7755612311		8922.0979611930
-669.4554636714        	0.7755612311		8922.7978541366
-669.4497885811        	0.7755612311		8924.1971426909
-669.4432221301        	0.7755612311		8925.3427230873
-669.4360665908        	0.7755612311		8926.2541852671
-669.4294120936        	0.7755612311		8926.6152749552
-669.4251100366        	0.7755612311		8926.2398304707
-669.4261326920        	0.7755612311		8924.8589251319
-669.4346026147        	0.7755612311		8921.7941436444
-669.4475244341        	0.7755612311		8918.1219184720
-669.4588080408        	0.7755612311		8914.7329764085
-669.4646466175        	0.7755612311		8912.9313769369
-669.4646192783        	0.7755612311		8913.7986263687
-669.4597760438        	0.7755612311		8917.0959416751
-669.4520183643        	0.7755612311		8922.0163840318
-669.4447308824        	0.7755612311		8927.3983219875
-669.4428503217        	0.7755612311		8931.2676502142
-669.4487764291        	0.7755612311		8932.8775574950
-669.4589461589        	0.7755612311		8933.1193338045
-669.4677164601        	0.7755612311		8932.8426810619
-669.4721804221        	0.7755612311		8933.0693777049
-669.4726389712        	0.7755612311		8933.5625601539
-669.4712782927        	0.7755612311		8934.3611965651
-669.4687305546        	0.7755612311		8934.8329376056
-669.4619486117        	0.7755612311		8934.8837645994
-669.4479435655        	0.7755612311		8935.5964536265
-669.4292553230        	0.7755612311		8936.7546568605
-669.4128754854        	0.7755612311		8937.1537695420
-669.4027200730        	0.7755612311		8936.7412925803
-669.3952086521        	0.7755612311		8935.9839287663
-669.3831516440        	0.7755612311		8936.7312132881
-669.3621631499        	0.7755612311		8940.4037471818
-669.3368152981        	0.7755612311		8946.0288844414
-669.3173283730        	0.7755612311		8951.5773131783
-669.3055476786        	0.7755612311		8956.2756344325
-669.2988935846        	0.7755612311		8959.5567421377
-669.2982151275        	0.7755612311		8961.2960520728
-669.3054613085        	0.7755612311		8960.5015407250
-669.3200859359        	0.7755612311		8957.4157151413
-669.3372047024        	0.7755612311		8953.3829924585
-669.3498224070        	0.7755612311		8950.2484161657
-669.3547256613        	0.7755612311		8948.8900294037
-669.3547138876        	0.7755612311		8949.2156212300
-669.3547044483        	0.7755612311		8950.2432740262
-669.3574747848        	0.7755612311		8951.0874900715
-669.3633897800        	0.7755612311		8951.0346424315
-669.3719454274        	0.7755612311		8949.6826656992
-669.3828059128        	0.7755612311		8946.8947706115
-669.3961149935        	0.7755612311		8942.6840185371
-669.4109735437        	0.7755612311		8937.6935979109
-669.4241916294        	0.7755612311		8932.8674748602
-669.4326882897        	0.7755612311		8929.0071134857
-669.4362327982        	0.7755612311		8926.6450292155
-669.4374311364        	0.7755612311		8924.8318701130
-669.4391525532        	0.7755612311		8923.1029228954
-669.4420464534        	0.7755612311		8921.4341128226
-669.4448982036        	0.7755612311		8920.4439156069
-669.4472546723        	0.7755612311		8919.8480944279
-669.4493618970        	0.7755612311		8920.2687467054
-669.4498826861        	0.7755612311		8921.8621852921
-669.4462986880        	0.7755612311		8924.2552796749
-669.4391032554        	0.7755612311		8927.2172925198
-669.4325651037        	0.7755612311		8929.0989289911
-669.4293610441        	0.7755612311		8929.6340194681
-669.4289875832        	0.7755612311		8928.3332606791
-669.4310899015        	0.7755612311		8925.3915659289
-669.4348846338        	0.7755612311		8921.0056749622
-669.4361481129        	0.7755612311		8917.1652648629
-669.4292955339        	0.7755612311		8914.6457958159
-669.4128271154        	0.7755612311		8914.9298606186
-669.3935615711        	0.7755612311		8917.4535719553
-669.3806289092        	0.7755612311		8920.5239530407
-669.3764798575        	0.7755612311		8923.0297417821
-669.3786787863        	0.7755612311		8924.6719520608
-669.3832404990        	0.7755612311		8925.7562602092
-669.3871624898        	0.7755612311		8927.1247805557
-669.3901624097        	0.7755612311		8928.3464253135
-669.3931202391        	0.7755612311		8929.5683853644
-669.3947463378        	0.7755612311		8930.7243908124
-669.3929743922        	0.7755612311		8932.3475811565
-669.3901123574        	0.7755612311		8934.3394439540
-669.3884219166        	0.7755612311		8935.9098476216
-669.3851667623        	0.7755612311		8937.8147895884
-669.3795096151        	0.7755612311		8940.2667770081
-669.3724611537        	0.7755612311		8943.3195553313
-669.3631503870        	0.7755612311		8946.8649125170
-669.3497232156        	0.7755612311		8950.7226410577
-669.3339384920        	0.7755612311		8953.8880063628
-669.3267472179        	0.7755612311		8954.0122479387
-669.3455976938        	0.7755612311		8948.9399159386
-669.3843162745        	0.7755612311		8941.1665214563
-669.4184459521        	0.7755612311		8934.7644205572
-669.4379052396        	0.7755612311		8931.8922684295
-669.4446308825        	0.7755612311		8931.9945368707
-669.4474343431        	0.7755612311		8933.5695869815
-669.4513783495        	0.7755612311		8934.7995576250
-669.4550294701        	0.7755612311		8935.7244391374
-669.4609032855        	0.7755612311		8935.3577995276
-669.4730195385        	0.7755612311		8932.9207670618
-669.4882273903        	0.7755612311		8928.8825747543
-669.4986528583        	0.7755612311		8925.3633355389
-669.4994568369        	0.7755612311		8924.0414338041
-669.4896608078        	0.7755612311		8925.5358159595
-669.4703800744        	0.7755612311		8929.1870783301
-669.4457652681        	0.7755612311		8933.5638648429
-669.4222103466        	0.7755612311		8937.7253978047
-669.4047192946        	0.7755612311		8940.3196612859
-669.3946223178        	0.7755612311		8941.6639015636
-669.3899131721        	0.7755612311		8941.2358016717
-669.3892524202        	0.7755612311		8940.0252748235
-669.3918778214        	0.7755612311		8938.5296624382
-669.3956714039        	0.7755612311		8937.1183493185
-669.3988912969        	0.7755612311		8936.1009479747
-669.4033926009        	0.7755612311		8934.9917676012
-669.4124763068        	0.7755612311		8933.6189570457
-669.4251416521        	0.7755612311		8931.8395804278
-669.4364599159        	0.7755612311		8930.4669335039
-669.4427646254        	0.7755612311		8929.7554106913
-669.4431836234        	0.7755612311		8929.7642327883
-669.4380072296        	0.7755612311		8930.3758790019
-669.4280110230        	0.7755612311		8931.4598747075
-669.4145243757        	0.7755612311		8932.5888142784
-669.4000334092        	0.7755612311		8933.2660008794
-669.3865476945        	0.7755612311		8933.5618550519
-669.3737473602        	0.7755612311		8934.5636139897
-669.3633068241        	0.7755612311		8936.2620181759
-669.3585114968        	0.7755612311		8938.6873274574
-669.3561018814        	0.7755612311		8942.7008677395
-669.3473679605        	0.7755612311		8948.4570735097
-669.3280374614        	0.7755612311		8956.4216140613
-669.3044580368        	0.7755612311		8963.8559287223
-669.2881439243        	0.7755612311		8968.9666470726
-669.2852727905        	0.7755612311		8968.8105087282
-669.2940977361        	0.7755612311		8964.6301172954
